catalog,page,section,table,row,column,column_label,column_group,value
architectural,3,"LokSeam® Series 12""",0,0,gauge,GAUGE,DESCRIPTION,26
architectural,3,"LokSeam® Series 12""",0,0,coverage,COVERAGE,DESCRIPTION,12
architectural,3,"LokSeam® Series 12""",0,0,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 12""",0,0,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,124#
architectural,3,"LokSeam® Series 12""",0,0,finish,FINISH*,DESCRIPTION,Galvalume® Plus &
architectural,3,"LokSeam® Series 12""",0,0,price,PRICE,,Please Inquire
architectural,3,"LokSeam® Series 12""",0,1,gauge,GAUGE,DESCRIPTION,26
architectural,3,"LokSeam® Series 12""",0,1,coverage,COVERAGE,DESCRIPTION,"42"""
architectural,3,"LokSeam® Series 12""",0,1,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 12""",0,1,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,124#
architectural,3,"LokSeam® Series 12""",0,1,finish,FINISH*,DESCRIPTION,Signature® 200
architectural,3,"LokSeam® Series 12""",0,1,price,PRICE,,Please Inquire
architectural,3,"LokSeam® Series 12""",0,2,gauge,GAUGE,DESCRIPTION,24
architectural,3,"LokSeam® Series 12""",0,2,coverage,COVERAGE,DESCRIPTION,"12"""
architectural,3,"LokSeam® Series 12""",0,2,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 12""",0,2,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,154#
architectural,3,"LokSeam® Series 12""",0,2,finish,FINISH*,DESCRIPTION,Galvalume® Plus &
architectural,3,"LokSeam® Series 12""",0,2,price,PRICE,,Please Inquire
architectural,3,"LokSeam® Series 12""",0,3,gauge,GAUGE,DESCRIPTION,24
architectural,3,"LokSeam® Series 12""",0,3,coverage,COVERAGE,DESCRIPTION,"12"""
architectural,3,"LokSeam® Series 12""",0,3,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 12""",0,3,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,146#
architectural,3,"LokSeam® Series 12""",0,3,finish,FINISH*,DESCRIPTION,Signature® 200
architectural,3,"LokSeam® Series 12""",0,3,price,PRICE,,✓
architectural,3,"LokSeam® Series 12""",0,4,gauge,GAUGE,DESCRIPTION,24
architectural,3,"LokSeam® Series 12""",0,4,coverage,COVERAGE,DESCRIPTION,"12"""
architectural,3,"LokSeam® Series 12""",0,4,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 12""",0,4,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,1460#
architectural,3,"LokSeam® Series 12""",0,4,finish,FINISH*,DESCRIPTION,Signature® 300
architectural,3,"LokSeam® Series 12""",0,4,price,PRICE,,✓
architectural,3,"LokSeam® Series 12""",0,5,gauge,GAUGE,DESCRIPTION,24
architectural,3,"LokSeam® Series 12""",0,5,coverage,COVERAGE,DESCRIPTION,"42"""
architectural,3,"LokSeam® Series 12""",0,5,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 12""",0,5,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,154#
architectural,3,"LokSeam® Series 12""",0,5,finish,FINISH*,DESCRIPTION,Signature® 300 Metallic
architectural,3,"LokSeam® Series 12""",0,5,price,PRICE,,Please Inquire
architectural,3,"LokSeam® Series 12""",0,6,gauge,GAUGE,DESCRIPTION,22
architectural,3,"LokSeam® Series 12""",0,6,coverage,COVERAGE,DESCRIPTION,"42"""
architectural,3,"LokSeam® Series 12""",0,6,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 12""",0,6,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,193#
architectural,3,"LokSeam® Series 12""",0,6,finish,FINISH*,DESCRIPTION,Galvalume® Plus &
architectural,3,"LokSeam® Series 12""",0,6,price,PRICE,,Please Inquire
architectural,3,"LokSeam® Series 12""",0,7,gauge,GAUGE,DESCRIPTION,22
architectural,3,"LokSeam® Series 12""",0,7,coverage,COVERAGE,DESCRIPTION,"12"""
architectural,3,"LokSeam® Series 12""",0,7,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 12""",0,7,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,193#
architectural,3,"LokSeam® Series 12""",0,7,finish,FINISH*,DESCRIPTION,Signature® 200
architectural,3,"LokSeam® Series 12""",0,7,price,PRICE,,Please Inquire
architectural,3,"LokSeam® Series 12""",0,8,gauge,GAUGE,DESCRIPTION,22
architectural,3,"LokSeam® Series 12""",0,8,coverage,COVERAGE,DESCRIPTION,"12"""
architectural,3,"LokSeam® Series 12""",0,8,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 12""",0,8,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,193#
architectural,3,"LokSeam® Series 12""",0,8,finish,FINISH*,DESCRIPTION,Signature® 300
architectural,3,"LokSeam® Series 12""",0,8,price,PRICE,,Please Inquire
architectural,3,"LokSeam® Series 12""",0,9,gauge,GAUGE,DESCRIPTION,22
architectural,3,"LokSeam® Series 12""",0,9,coverage,COVERAGE,DESCRIPTION,"12"""
architectural,3,"LokSeam® Series 12""",0,9,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 12""",0,9,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,193#
architectural,3,"LokSeam® Series 12""",0,9,finish,FINISH*,DESCRIPTION,Signature® 300 Metallic
architectural,3,"LokSeam® Series 12""",0,9,price,PRICE,,Please Inquire
architectural,3,"LokSeam® Series 16""",1,0,gauge,GAUGE,DESCRIPTION,24
architectural,3,"LokSeam® Series 16""",1,0,coverage,COVERAGE,DESCRIPTION,"16"""
architectural,3,"LokSeam® Series 16""",1,0,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 16""",1,0,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,134#
architectural,3,"LokSeam® Series 16""",1,0,finish,FINISH*,DESCRIPTION,Galvalume® Plus &
architectural,3,"LokSeam® Series 16""",1,0,price,PRICE,,✓
architectural,3,"LokSeam® Series 16""",1,1,gauge,GAUGE,DESCRIPTION,24
architectural,3,"LokSeam® Series 16""",1,1,coverage,COVERAGE,DESCRIPTION,"16"""
architectural,3,"LokSeam® Series 16""",1,1,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 16""",1,1,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,1344
architectural,3,"LokSeam® Series 16""",1,1,finish,FINISH*,DESCRIPTION,Signature® 200
architectural,3,"LokSeam® Series 16""",1,1,price,PRICE,,✓
architectural,3,"LokSeam® Series 16""",1,2,gauge,GAUGE,DESCRIPTION,24
architectural,3,"LokSeam® Series 16""",1,2,coverage,COVERAGE,DESCRIPTION,"16"""
architectural,3,"LokSeam® Series 16""",1,2,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 16""",1,2,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,134#
architectural,3,"LokSeam® Series 16""",1,2,finish,FINISH*,DESCRIPTION,Signature® 300
architectural,3,"LokSeam® Series 16""",1,2,price,PRICE,,✓
architectural,3,"LokSeam® Series 16""",1,3,gauge,GAUGE,DESCRIPTION,24
architectural,3,"LokSeam® Series 16""",1,3,coverage,COVERAGE,DESCRIPTION,"16"""
architectural,3,"LokSeam® Series 16""",1,3,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 16""",1,3,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,146#
architectural,3,"LokSeam® Series 16""",1,3,finish,FINISH*,DESCRIPTION,Signature® 300 Metallic
architectural,3,"LokSeam® Series 16""",1,3,price,PRICE,,Please Inquire
architectural,3,"LokSeam® Series 16""",1,4,gauge,GAUGE,DESCRIPTION,22
architectural,3,"LokSeam® Series 16""",1,4,coverage,COVERAGE,DESCRIPTION,"16"""
architectural,3,"LokSeam® Series 16""",1,4,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
architectural,3,"LokSeam® Series 16""",1,4,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,171#
architectural,3,"LokSeam® Series 16""",1,4,finish,FINISH*,DESCRIPTION,Galvalume® Plus &
