catalog,page,section,table,row,column,column_label,column_group,value
fasteners,3,Drill Bit,0,0,part,PART #,DESCRIPTION,HW-601
fasteners,3,Drill Bit,0,0,wire_guage,"WIRE
GUAGE",DESCRIPTION,#30
fasteners,3,Drill Bit,0,0,decimal_size,"DECIMAL
SIZE",DESCRIPTION,"1285"""
fasteners,3,Drill Bit,0,0,use,USE,DESCRIPTION,For Pop Rivets
fasteners,3,Drill Bit,0,0,carton_qty,"CARTON
QTy",DESCRIPTION,10/pkg
fasteners,3,Drill Bit,0,0,weight_per_each,"WEIGHT
PER EACH",DESCRIPTION,.10#
fasteners,3,Drill Bit,0,0,price,PRICE,,✓
fasteners,3,Drill Bit,0,1,part,PART #,DESCRIPTION,HW-603
fasteners,3,Drill Bit,0,1,wire_guage,"WIRE
GUAGE",DESCRIPTION,#8
fasteners,3,Drill Bit,0,1,decimal_size,"DECIMAL
SIZE",DESCRIPTION,"1990"""
fasteners,3,Drill Bit,0,1,use,USE,DESCRIPTION,"For #14 or %4"" diameter Fastener in 16 to 12 gauge steel"
fasteners,3,Drill Bit,0,1,carton_qty,"CARTON
QTy",DESCRIPTION,10/pke
fasteners,3,Drill Bit,0,1,weight_per_each,"WEIGHT
PER EACH",DESCRIPTION,.10#
fasteners,3,Drill Bit,0,1,price,PRICE,,✓
fasteners,3,Drill Bit,0,2,part,PART #,DESCRIPTION,HW-611
fasteners,3,Drill Bit,0,2,wire_guage,"WIRE
GUAGE",DESCRIPTION,#1
fasteners,3,Drill Bit,0,2,decimal_size,"DECIMAL
SIZE",DESCRIPTION,".2280"""
fasteners,3,Drill Bit,0,2,use,USE,DESCRIPTION,"For #14 or %"" diameter Fastener in 7/;¢"" to 3%"" thick steel"
fasteners,3,Drill Bit,0,2,carton_qty,"CARTON
QTy",DESCRIPTION,10/pkg
fasteners,3,Drill Bit,0,2,weight_per_each,"WEIGHT
PER EACH",DESCRIPTION,.10#
fasteners,3,Drill Bit,0,2,price,PRICE,,✓
fasteners,3,Magnetic Sockets,1,0,part,PART #,DESCRIPTION,HW-604
fasteners,3,Magnetic Sockets,1,0,size,SIZE,DESCRIPTION,"38"" Hex Drive"
fasteners,3,Magnetic Sockets,1,0,weight_per_each,WEIGHT PER EACH,DESCRIPTION,10#
fasteners,3,Magnetic Sockets,1,0,price,PRICE,,✓
fasteners,3,Magnetic Sockets,1,1,part,PART #,DESCRIPTION,HW-605
fasteners,3,Magnetic Sockets,1,1,size,SIZE,DESCRIPTION,"5/16"" Hex Drive"
fasteners,3,Magnetic Sockets,1,1,weight_per_each,WEIGHT PER EACH,DESCRIPTION,.10#
fasteners,3,Magnetic Sockets,1,1,price,PRICE,,✓
fasteners,3,Magnetic Sockets,1,2,part,PART #,DESCRIPTION,HW-606
fasteners,3,Magnetic Sockets,1,2,size,SIZE,DESCRIPTION,"Y%"" Hex Drive"
fasteners,3,Magnetic Sockets,1,2,weight_per_each,WEIGHT PER EACH,DESCRIPTION,10#
fasteners,3,Magnetic Sockets,1,2,price,PRICE,,✓
fasteners,3,Magnetic Sockets,1,3,part,PART #,DESCRIPTION,HW-612
fasteners,3,Magnetic Sockets,1,3,size,SIZE,DESCRIPTION,"38"" Hex Drive - For Long Life Fasteners"
fasteners,3,Magnetic Sockets,1,3,weight_per_each,WEIGHT PER EACH,DESCRIPTION,10#
fasteners,3,Magnetic Sockets,1,3,price,PRICE,,✓
fasteners,3,Magnetic Sockets,1,4,part,PART #,DESCRIPTION,HW-613
fasteners,3,Magnetic Sockets,1,4,size,SIZE,DESCRIPTION,"5/16"" Hex Drive - For Long Life Fasteners"
fasteners,3,Magnetic Sockets,1,4,weight_per_each,WEIGHT PER EACH,DESCRIPTION,10#
fasteners,3,Magnetic Sockets,1,4,price,PRICE,,✓
fasteners,3,Magnetic Sockets,1,5,part,PART #,DESCRIPTION,HW-590
