catalog,page,section,table,row,column,column_label,column_group,value
residential,4,5V Crimp,0,0,gauge,GAUGE,DESCRIPTION,29
residential,4,5V Crimp,0,0,panel_coverage,PANEL COVERAGE,DESCRIPTION,"24"""
residential,4,5V Crimp,0,0,yield_psi,YIELD (PSI),DESCRIPTION,"80,000"
residential,4,5V Crimp,0,0,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,71#
residential,4,5V Crimp,0,0,finish,FINISH*,DESCRIPTION,Galvalume' Plus &
residential,4,5V Crimp,0,0,price,PRICE,,✓
residential,4,5V Crimp,0,1,gauge,GAUGE,DESCRIPTION,26
residential,4,5V Crimp,0,1,panel_coverage,PANEL COVERAGE,DESCRIPTION,"24"""
residential,4,5V Crimp,0,1,yield_psi,YIELD (PSI),DESCRIPTION,"80,000"
residential,4,5V Crimp,0,1,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,82#
residential,4,5V Crimp,0,1,finish,FINISH*,DESCRIPTION,Galvalume' Plus &
residential,4,5V Crimp,0,1,price,PRICE,,✓
residential,4,5V Crimp,0,2,gauge,GAUGE,DESCRIPTION,26
residential,4,5V Crimp,0,2,panel_coverage,PANEL COVERAGE,DESCRIPTION,"24"""
residential,4,5V Crimp,0,2,yield_psi,YIELD (PSI),DESCRIPTION,"80,000"
residential,4,5V Crimp,0,2,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,82#
residential,4,5V Crimp,0,2,finish,FINISH*,DESCRIPTION,"Signature"" 200"
residential,4,5V Crimp,0,2,price,PRICE,,Please Inquire
residential,6,Slimline',0,0,gauge,GAUGE,DESCRIPTION,29
residential,6,Slimline',0,0,panel_coverage,PANEL COVERAGE,DESCRIPTION,"16"""
residential,6,Slimline',0,0,yield_psi,YIELD (PSI),DESCRIPTION,"50,000"
residential,6,Slimline',0,0,weight_per_sq,WEIGHT PER SQ.,DESCRIPTION,76#
residential,6,Slimline',0,0,finish,FINISH*,DESCRIPTION,Galvalume' Plus &
residential,6,Slimline',0,0,price,PRICE,,✓
