catalog,page,section,table,row,column,column_label,column_group,value
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,column_1,,,1 FT.
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,o,"o""",,2.00
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,column,"""",,2.17
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,column_4,,,2.33
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,3,"3""",,2.50
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,4,"4""",,2.66
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,5,"5""",,2.83
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,6,"6""",,3.00
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,column_9,,,3.16
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,8,"8""",,3.33
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,9,"9""",,3.49
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,10,"10""",,3.66
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,0,n,"n""",,3.83
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,column_1,,,2 FT.
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,o,"o""",,4.00
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,column,"""",,4.17
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,column_4,,,4.33
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,3,"3""",,4.50
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,4,"4""",,4.66
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,5,"5""",,4.83
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,6,"6""",,5.00
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,column_9,,,5.16
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,8,"8""",,5.33
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,9,"9""",,5.49
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,10,"10""",,5.66
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,1,n,"n""",,5.83
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,column_1,,,3 FT.
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,o,"o""",,6.00
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,column,"""",,6.17
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,column_4,,,6.33
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,3,"3""",,6.50
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,4,"4""",,6.66
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,5,"5""",,6.83
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,6,"6""",,7.00
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,column_9,,,7.16
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,8,"8""",,7.33
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,9,"9""",,7.49
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,10,"10""",,7.66
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,2,n,"n""",,7.83
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,3,column_1,,,4 FT.
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,3,o,"o""",,8.00
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,3,column,"""",,8.17
ssr,3,"o"" Sa 2"" 3"" 4"" 5"" 6"" zn"" 8"" 9"" 10"" n""",0,3,column_4,,,8.33
